"GDLcode","X1","X2","X3","X4","X5","X6"
"IRLr106",27249.9899290765,64534.8378184731,138610.838841658,64271.0073310066,9511.50047545361,784.071060091414
"IRLr102",23625.1507095349,60926.7084484398,131594.669749266,60254.4030257782,7368.47812202974,0
"IRLr107",50837.4250314198,120395.823559949,258591.586510499,119903.622914646,17744.6007729066,1462.75847589108
"IRLr108",58711.7878638878,139044.297546168,298645.621040153,138475.858451237,20493.1157639157,1689.32956929944
"IRLr103",42441.8962193908,104806.189839692,208387.344574235,84133.7268551861,12236.127238014,0
"ITAr105",155964.98484286,272777.72699655,583624.737026421,277693.157913995,0,0
"ITAr109",88471.341983713,129181.217569954,326818.446263249,16626.8886592419,0,0
"ITAr110",251488.320902791,323236.938454955,951994.52297595,345535.33112419,0,0
"ITAr107",471889.601074999,847182.856909477,2806059.26611756,1543963.1155558,86382.5433354876,0
"ITAr117",596840.555379059,1057214.58676943,2305106.77613339,429592.180834135,71250.0798838445,0
"ITAr116",95804.7058788358,278383.401934688,645144.731669828,213254.668545507,20976.5228708976,0
"ITAr121",990250.549308478,1255335.61899388,2953144.061399,452684.408946416,9593.25117541825,0
"ITAr103",283816.572709794,391025.617509401,746905.363073228,99381.5435266701,0,0
"ITAr104",1175488.46846352,2310571.72812267,5386822.52176742,984291.569208594,147460.624949864,0
"ITAr120",207659.231679232,424596.987388931,734539.799082561,169327.885132417,0,0
"ITAr106",23961.4892155175,56719.3686289734,218662.27957341,3775.02734712362,0,0
"ITAr101",676311.110578036,1334980.27946586,2123944.91482291,267504.683770444,0,0
"ITAr113",58158.7898887257,128177.405790936,243575.340461749,72934.9977913086,17153.46695293,0
"ITAr114",60171.9787694893,132614.315991392,252006.794554656,75459.670791777,17747.240808993,0
"ITAr108",354708.859594913,782808.640090966,2499265.34344795,365285.034168756,0,0
"ITAr112",134295.259477341,361765.582642749,902309.29066599,190992.02287368,24098.3311545004,0
"ITAr111",540268.337683157,860405.094791195,2613961.76454939,812810.827010732,48993.6266040843,0
"ITAr118",340442.303529126,1012915.72726892,2017559.42918073,274315.992520461,33220.8035198814,0
"ITAr119",57111.656749967,191931.486950888,539236.77370304,105152.647647356,8391.02939631109,0
"ITAr102",21010.5442136585,39743.5257138195,47230.3306336976,18382.8368506457,0,0
"ITAr115",523838.308744088,899101.613883784,2507166.36379744,918869.500866852,96074.2164410618,0
"JPNr108",721125.43729447,1743589.39057776,3959120.94140416,718293.784704492,65004.9699025791,0
"JPNr101",658515.144716141,2228318.54661212,2336006.10502655,112032.009261414,66927.103257109,0
"JPNr105",531156.483886627,1447056.38650963,2324034.81068874,837410.254374665,202470.424011677,0
"JPNr107",1966284.94608648,5469900.87383605,10415479.6180743,2039949.42696901,366321.774627997,0
"JPNr110",1956593.0937791,4463583.98376746,6164325.58863353,1251780.37925282,437708.725304665,0
"JPNr103",1084970.89912681,1839401.7046264,3140907.52991229,655619.76272304,93713.2936114495,0
"JPNr109",452496.1276411,1458075.10163366,1456553.9501165,319928.499230182,86195.6845439261,0
"JPNr104",6194277.38292687,10501446.9846649,17931957.8894313,3743041.10027612,535024.612700822,0
"JPNr102",1212440.20583307,3078426.20642183,3092187.38809684,1519677.75281988,226934.529699934,0
"JPNr106",1448520.43288304,3946277.24028781,6337891.02108116,2283707.15780699,552158.460138474,0
"LTUr101",25728.4699791083,40476.2869135511,57722.2287846359,20749.5047100163,3497.03762310474,0
"LTUr102",108384.131268446,148534.405357517,249216.301391655,56745.8866247866,25624.1369891353,0
"LTUr103",57384.0895169923,78167.8598170613,147897.705238349,47871.2701520221,5657.46785302558,261.491493454041
"LTUr104",19331.6305121988,41996.7014795061,62210.3570448364,17608.5657375943,14726.6894850511,0
"LTUr105",45606.1335510926,53348.3388651247,116634.011723991,21535.6418976483,0,0
"LTUr106",49335.078310169,82102.8105009329,137708.303680588,16879.9628036379,3958.95406242213,0
"LTUr107",17556.5508218541,31819.7354547829,31229.8121154471,10936.5395182031,0,0
"LTUr108",19711.5805942252,32572.4974034962,59480.3853626902,24704.1561794485,3571.58151757784,0
"LTUr109",31866.1242808563,43185.5403845853,51443.8659269296,14617.2372589979,0,0
"LTUr110",146506.908202075,208753.34016454,372138.377254943,85813.2606290689,17519.917980614,0
"MEXr101",22582.2012259054,98510.3348362848,511716.883494276,436698.245288176,165617.54163691,15626.4275184479
"MEXr102",129910.29133062,378338.999536649,1458201.49939464,970407.119559088,328128.326816932,65772.0273620727
"MEXr103",30227.1041020041,64058.7273042841,339624.111212922,247261.095223251,71499.7595672201,4964.06509031807
"MEXr104",23184.6215998756,63578.2452106941,376964.7734202,271329.315577284,117343.173407419,25144.5465845272
"MEXr107",67954.9915602164,389800.990827516,1622868.27264786,1760403.43699478,1220586.50135431,219110.091615319
"MEXr108",131871.768332104,352592.751938972,1508646.21103833,1150702.25215228,336772.167529295,50011.728009012
"MEXr105",101604.222663181,283919.728399394,1343271.70443426,1284465.7632115,427738.199291666,0
"MEXr106",28531.0929335675,82500.6647632362,307474.147319224,224861.005101839,74269.1725453959,17511.3981367369
"MEXr109",346235.295374869,931625.511119594,3605902.27133378,2249461.51734499,806805.703757712,164095.966069049
"MEXr110",41927.2883745201,115264.50613449,518263.053829247,476029.60143247,201073.221617427,15855.7036118463
"MEXr111",122854.622507924,514749.888826415,2018518.9076578,2158736.38359872,1034969.91232823,128457.873080915
"MEXr112",79777.4304195076,258441.950227436,1266228.96445904,1089259.68084895,826769.632229194,80008.4608158654
"MEXr113",74692.8375638885,337339.107128417,1327835.45659668,1065716.40718542,302501.681528722,42434.0379968748
"MEXr114",164355.717920956,630008.413552422,3159802.36703408,2642883.59445184,1143751.43801123,116600.468029477
"MEXr115",313174.339567276,1327144.49736853,6346817.37635564,6185291.30648659,2773093.7843124,189221.095909555
