"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"Indonesia","IDNr117",97400,450680,2154940,1345420,417700,28220
"Indonesia","IDNr118",65280,211320,1253880,1686640,1269160,209380
"Indonesia","IDNr120",50120,203400,1615540,1605000,823500,77460
"Indonesia","IDNr121",39660,150920,1001900,694080,278760,29580
"Indonesia","IDNr122",74680,278480,1752560,1070600,371420,29900
"Indonesia","IDNr123",61740,209320,1392440,1171900,593360,82400
"Indonesia","IDNr124",47300,219600,1392260,1080740,481740,55560
"Indonesia","IDNr128",47300,219600,1392260,1080740,481740,55560
"Indonesia","IDNr125",35320,136960,976760,914380,513480,56100
"Indonesia","IDNr126",139400,489120,2903060,3289760,2083660,239260
"Indonesia","IDNr127",33980,104560,704740,778960,520640,74900
"Indonesia","IDNr129",29740,99560,652280,875540,734960,158280
"Indonesia","IDNr130",37220,191320,1268480,1343860,580620,112820
"KyrgyzRepublic","KGZr101",47890,96520,363460,287150,126040,25600
"KyrgyzRepublic","KGZr102",12110,27820,132440,171690,94540,11030
"KyrgyzRepublic","KGZr105",8860,27700,187280,390400,345690,93160
"KyrgyzRepublic","KGZr107",1590,7980,57120,108000,77250,7340
"KyrgyzRepublic","KGZr108",4850,13820,86340,176650,141080,32860
"KyrgyzRepublic","KGZr106",11660,40160,243140,521000,473460,144810
"KyrgyzRepublic","KGZr104",2140,7080,50190,93220,70430,9370
"KyrgyzRepublic","KGZr103",30360,67620,267870,270000,148700,22900
"SierraLeone","SLEr106",1870,5500,58290,134340,309080,17440
"SierraLeone","SLEr107",6160,18380,110940,163590,253480,57190
"SierraLeone","SLEr108",4990,10460,69820,130060,247390,39830
"SierraLeone","SLEr101",6590,16200,88770,160720,269770,63760
"SierraLeone","SLEr102",1050,5540,40860,82640,170500,44710
"SierraLeone","SLEr103",550,2060,24430,74260,284320,22840
"SierraLeone","SLEr104",5840,18460,113870,162130,256020,62520
"SierraLeone","SLEr105",2210,8320,67760,143520,278740,35510
"SierraLeone","SLEr109",6670,18040,95860,144420,231080,78680
"SierraLeone","SLEr110",1050,3440,26610,49630,99570,21330
"SierraLeone","SLEr111",4260,12800,67510,84450,120160,29310
"SierraLeone","SLEr112",1010,3280,33320,75330,203480,29620
"SierraLeone","SLEr113",8500,21760,98410,118870,150030,49940
"SierraLeone","SLEr114",31700,65920,237920,264200,318770,129570
"CostaRica","CRIr101",48860,165820,650620,398390,120550,12670
"CostaRica","CRIr102",25850,95240,390100,253770,73330,7420
"CostaRica","CRIr103",11030,44480,227690,151500,48030,5060
"CostaRica","CRIr104",12710,49680,208530,123660,34870,3490
"CostaRica","CRIr105",10950,36080,151340,91410,33140,4430
"CostaRica","CRIr106",14990,49800,192830,111690,38980,3450
"CostaRica","CRIr107",14630,42020,172440,110570,40140,4010
"Ecuador","ECUr101",326400,864720,4085170,3309830,1670400,164380
"Ecuador","ECUr102",114340,296040,1200290,998170,597970,49110
"Ecuador","ECUr103",21200,46920,209180,207860,211270,28880
"Iran","IRNr101",35920.1852953397,184130.763854274,789722.740354504,334453.626603878,44533.6707386819,1137.98631779871
"Iran","IRNr102",69233.6198508228,330241.152540814,1533430.99124428,471868.720637113,55172.1392018268,0
"Iran","IRNr103",68946.7274159333,360979.4276361,1924066.99775624,619224.003812993,58316.8920352289,592.291477559608
"Iran","IRNr104",76824.9103196433,399207.236868129,2163582.58675181,868316.982413708,154922.495047442,3365.96181602734
"Iran","IRNr105",47205.6347629294,252410.623165077,1550070.52238572,885890.777133777,275267.214106533,26793.1064735793
"Iran","IRNr106",31866.2678448838,189409.628671955,970340.679955545,568308.034275737,144382.431719833,2763.5267166895
"Iran","IRNr107",52093.6600314235,311389.501562411,1827387.62840577,1561107.58316617,650175.795144211,52645.8271826
"Iran","IRNr108",80361.3430022612,441867.588738664,2255505.6578669,1370322.73347181,305990.433826301,15946.0035175284
"Iran","IRNr109",59962.5396133842,275366.959720686,1318371.01412028,922898.810845187,258598.572571238,11566.739902286
"Iran","IRNr110",131428.186409004,639435.670384705,3164138.24495961,1639537.63660186,316989.7711376,7495.20616193705
"Iran","IRNr111",111877.265756497,573239.43503144,2868206.91273362,1091399.45396782,152530.340929269,11732.8392080116
"Iran","IRNr112",42725.0649763378,178214.611493197,761901.316720477,862197.747542059,591688.732349545,55409.5039528661
"Iran","IRNr113",18858.3233607754,128089.854458215,749095.614446912,448735.300853971,111763.695206153,7018.245863353
"Iran","IRNr114",37150.4245520328,204163.91668769,938136.361409723,453233.747023322,83096.5195965449,2247.85259534238
"Iran","IRNr115",13430.3853165273,76445.8149637185,408676.057708812,294684.056886561,85839.9891518287,2830.16050827213
"Iran","IRNr116",25669.055131261,146414.237175585,793828.526324605,596002.712655394,167994.442383757,3433.43590763894
"Iran","IRNr117",5294.62044322399,36998.2702253593,228237.162035371,194286.66001507,77868.8730663438,1719.44392712772
"Iran","IRNr118",5710.969100433,43414.6812036809,240741.88684499,255679.93047063,95403.2036957659,2479.08515688458
"Iran","IRNr119",11700.1675425996,72200.2390816559,408072.64225944,313000.566792946,113899.457779775,6597.41560598951
"Iran","IRNr120",17299.3767391802,109557.137355092,550138.846970859,261832.287168421,51210.8748331361,1155.93272556019
"Iran","IRNr121",14577.0347274818,80338.3047764671,356992.27402366,135611.299988913,14673.5791986669,0
"Iran","IRNr122",24993.2738436806,116303.226044777,598199.567041836,250094.526203097,41506.2297914665,4467.01494683864
"Iran","IRNr123",24951.1287957992,136041.413560883,621424.719578139,508391.781188948,215931.488296899,16594.9952398996
"Iran","IRNr124",389481.504297161,1800609.00710412,8806097.5654638,3027262.88363783,396044.817726975,10434.7357204078
"Iran","IRNr125",18083.34665549,103815.527314317,641248.347600761,382204.966210618,85996.7351179462,1726.32638450782
"Iran","IRNr126",17702.3606244999,118284.713534509,612278.443902145,321589.373424723,60606.5095427252,2709.60746483086
"Iran","IRNr127",23643.4518900083,134340.486245107,675589.289027377,307766.828087535,47945.468920575,0
"Iran","IRNr128",26317.5766857589,158641.202811344,912924.749608516,532762.262664732,113082.266001606,4838.00740962704
"Iran","IRNr129",19892.2525249872,89939.8530074399,419394.81483901,255939.953311736,57209.9768113584,649.972072405046
"Iran","IRNr130",17807.1080245392,79147.4395782742,295859.646630656,183568.503099178,49988.0882374142,558.889551408217
"Mauritius","MUSr101",14065.1307784679,53768.9856616858,288867.646623776,175261.576021694,43581.8123692812,6158.51797657201
"Mauritius","MUSr102",19038.1591608547,69079.8851662465,310588.227154525,168751.429775661,40256.413592372,6811.5419055723
