"GDLcode","X1","X2","X3","X4","X5","X6"
"MDVr102",802.396971871591,2604.68757041993,13636.7046429926,18693.5334355386,18693.86516336,6280.81221581725
"MDVr103",904.556064484123,2378.40655808772,13424.3215769951,16988.5653056989,16398.5067041715,7296.64379056271
"MDVr104",211.757964835459,941.449808960344,5016.65416342188,8304.71252253909,10222.6945198939,9128.73102034931
"MDVr105",426.91732282302,1511.46686517317,8685.90537530651,16018.9299847382,18206.3814179032,9634.3990340559
"MDVr106",766.928220363145,3069.76781029497,15662.2278319944,19991.5450635997,21352.2151181849,7300.31595556291
"MLIr101",11898.1308797528,75134.2656886198,464440.4319939,741276.865533663,791711.987333391,366072.326570673
"MLIr102",19982.0868874856,79695.2682622905,637567.447285047,913504.718197874,1175684.310633,373317.130734298
"MLIr103",11482.4774507302,49224.647479459,483896.221831171,821131.912817189,1278965.82506261,693502.254358844
"MLIr104",14218.0420714457,63045.9159632712,538590.85228082,804359.373420679,1011007.95517109,396524.529092693
"MLIr105",7921.03028277581,49503.4600755867,405261.423963283,756893.141788281,938638.633440603,299484.55144947
"MLIr108",23269.5859218105,38530.4619046662,309412.431058541,548949.492186924,854709.942207623,402557.445720436
